"id","type","x","y","z","vx","vy","vz","fz","fy","fz","TIMESTEP"
4,1,-0.153695,0.0128424,-0.129421,-0.723603,0.0543206,-1.23735,-0.0821841,0,-0.0821841,32000
5,1,-0.10222,0.0079576,-0.0623844,-0.73954,0.055517,-0.523202,-0.0821841,0,-0.0821841,32000
6,1,-0.0419351,0.00794396,-0.0548733,-0.784989,0.0589288,0.433852,-0.0821841,0,-0.0821841,32000
7,1,0.00230449,0.00163712,-0.0145005,0,0,-1.47748,-0.0821841,0,-0.0821841,32000
8,1,0.00219928,0.00326163,0.0902847,0,0,-0.519636,-0.0821841,0,-0.0821841,32000
1,1,-0.456065,0.0367677,-0.312934,-1.46006,0.109607,-0.759613,-0.0821841,0,-0.0821841,33000
2,1,-0.386444,0.0313643,-0.253458,-1.25878,0.0944959,-1.00572,-0.0821841,0,-0.0821841,33000
3,1,-0.263051,0.0180278,-0.199083,-1.22577,0.0920179,-0.115929,-0.0821841,0,-0.0821841,33000
4,1,-0.168167,0.0139288,-0.156129,-0.723603,0.0543206,-1.43355,-0.0821841,0,-0.0821841,33000
5,1,-0.117011,0.00906794,-0.07481,-0.73954,0.055517,-0.719402,-0.0821841,0,-0.0821841,33000
6,1,-0.0576349,0.00912254,-0.0481578,-0.784989,0.0589288,0.237652,-0.0821841,0,-0.0821841,33000
7,1,0.00230449,0.00163712,-0.0460117,0,0,-1.67368,-0.0821841,0,-0.0821841,33000
8,1,0.00219928,0.00326163,0.0779305,0,0,-0.715836,-0.0821841,0,-0.0821841,33000
1,1,-0.485266,0.0389599,-0.330088,-1.46006,0.109607,-0.955813,-0.0821841,0,-0.0821841,34000
2,1,-0.411619,0.0332542,-0.275534,-1.25878,0.0944959,-1.20192,-0.0821841,0,-0.0821841,34000
3,1,-0.287566,0.0198682,-0.203363,-1.22577,0.0920179,-0.312129,-0.0821841,0,-0.0821841,34000
4,1,-0.182639,0.0150153,-0.186761,-0.723529,0.0543151,-1.61358,2.0567,0.00128029,2.0567,34000
5,1,-0.131802,0.0101783,-0.0911595,-0.73954,0.055517,-0.915602,-0.0821841,0,-0.0821841,34000
7,1,0.00230449,0.00163712,-0.0814469,0,0,-1.86988,-0.0821841,0,-0.0821841,34000
6,1,-0.0733347,0.0103011,-0.0453662,-0.784989,0.0589288,0.0414525,-0.0821841,0,-0.0821841,34000
8,1,0.00219928,0.00326163,0.0616523,0,0,-0.912036,-0.0821841,0,-0.0821841,34000
2,1,-0.436795,0.0351441,-0.301534,-1.25878,0.0944959,-1.39812,-0.0821841,0,-0.0821841,35000
3,1,-0.312081,0.0217085,-0.211567,-1.22577,0.0920179,-0.508329,-0.0821841,0,-0.0821841,35000
4,1,-0.205187,0.0167079,-0.184881,-1.15689,0.0868472,0.0958153,-0.0821841,0,-0.0821841,35000
5,1,-0.146593,0.0112886,-0.111433,-0.73954,0.055517,-1.1118,-0.0821841,0,-0.0821841,35000
7,1,-0.0089868,0.00248475,-0.0783783,-0.774131,0.0581137,0.804342,-0.0821841,0,-0.0821841,35000
6,1,-0.0890344,0.0114797,-0.0464987,-0.784989,0.0589288,-0.154748,-0.0821841,0,-0.0821841,35000
8,1,0.00219928,0.00326163,0.0414501,0,0,-1.10824,-0.0821841,0,-0.0821841,35000
9,1,-0.00317013,-0.000353553,0.0796386,0,0,-0.0783819,-0.0821841,0,-0.0821841,35000
2,1,-0.46197,0.037034,-0.331458,-1.25878,0.0944959,-1.59432,-0.0821841,0,-0.0821841,36000
3,1,-0.336597,0.0235489,-0.223695,-1.22577,0.0920179,-0.704529,-0.0821841,0,-0.0821841,36000
4,1,-0.228324,0.0184448,-0.184927,-1.15689,0.0868472,-0.100385,-0.0821841,0,-0.0821841,36000
5,1,-0.161384,0.012399,-0.135631,-0.73954,0.055517,-1.308,-0.0821841,0,-0.0821841,36000
7,1,-0.0244694,0.00364703,-0.064253,-0.774131,0.0581137,0.608142,-0.0821841,0,-0.0821841,36000
6,1,-0.104734,0.0126583,-0.0515551,-0.784989,0.0589288,-0.350948,-0.0821841,0,-0.0821841,36000
8,1,0.00219928,0.00326163,0.0173238,0,0,-1.30444,-0.0821841,0,-0.0821841,36000
9,1,-0.00317013,-0.000353553,0.0761095,0,0,-0.274582,-0.0821841,0,-0.0821841,36000
2,1,-0.493436,0.0393962,-0.341519,-1.64734,0.123666,-0.34336,-0.0821841,0,-0.0821841,37000
3,1,-0.361112,0.0253892,-0.239747,-1.22577,0.0920179,-0.900729,-0.0821841,0,-0.0821841,37000
4,1,-0.251462,0.0201818,-0.188896,-1.15689,0.0868472,-0.296585,-0.0821841,0,-0.0821841,37000
5,1,-0.176174,0.0135093,-0.163752,-0.73954,0.055517,-1.5042,-0.0821841,0,-0.0821841,37000
7,1,-0.039952,0.0048093,-0.0540516,-0.774131,0.0581137,0.411942,-0.0821841,0,-0.0821841,37000
6,1,-0.120434,0.0138368,-0.0605356,-0.784989,0.0589288,-0.547148,-0.0821841,0,-0.0821841,37000
8,1,0.00219928,0.00326163,-0.0107264,0,0,-1.50064,-0.0821841,0,-0.0821841,37000
9,1,-0.00317013,-0.000353553,0.0686563,0,0,-0.470782,-0.0821841,0,-0.0821841,37000
3,1,-0.385627,0.0272296,-0.259723,-1.22577,0.0920179,-1.09693,-0.0821841,0,-0.0821841,38000
5,1,-0.191968,0.014695,-0.190709,-1.17972,0.0885613,0.263395,-0.0821841,0,-0.0821841,38000
4,1,-0.2746,0.0219187,-0.196789,-1.15689,0.0868472,-0.492785,-0.0821841,0,-0.0821841,38000
6,1,-0.136134,0.0150154,-0.0734401,-0.784989,0.0589288,-0.743348,-0.0821841,0,-0.0821841,38000
7,1,-0.0554346,0.00597157,-0.0477743,-0.774131,0.0581137,0.215742,-0.0821841,0,-0.0821841,38000
8,1,0.00219928,0.00326163,-0.0427006,0,0,-1.69684,-0.0821841,0,-0.0821841,38000
9,1,-0.00317013,-0.000353553,0.0572792,0,0,-0.666982,-0.0821841,0,-0.0821841,38000
3,1,-0.410143,0.0290699,-0.283623,-1.22577,0.0920179,-1.29313,-0.0821841,0,-0.0821841,39000
4,1,-0.297738,0.0236557,-0.208606,-1.15689,0.0868472,-0.688985,-0.0821841,0,-0.0821841,39000
5,1,-0.215563,0.0164662,-0.187402,-1.17972,0.0885613,0.0671946,-0.0821841,0,-0.0821841,39000
6,1,-0.151834,0.016194,-0.0902685,-0.784989,0.0589288,-0.939548,-0.0821841,0,-0.0821841,39000
8,1,0.00219928,0.00326163,-0.0785988,0,0,-1.89304,-0.0821841,0,-0.0821841,39000
7,1,-0.0709173,0.00713385,-0.045421,-0.774131,0.0581137,0.0195418,-0.0821841,0,-0.0821841,39000
9,1,-0.00317013,-0.000353553,0.041978,0,0,-0.863182,-0.0821841,0,-0.0821841,39000
10,1,-0.00397524,-0.00194166,0.0998975,0,0,-0.0966285,-0.0821841,0,-0.0821841,39000
3,1,-0.434658,0.0309103,-0.311447,-1.22577,0.0920179,-1.48933,-0.0821841,0,-0.0821841,40000
4,1,-0.320875,0.0253926,-0.224347,-1.15689,0.0868472,-0.885185,-0.0821841,0,-0.0821841,40000
5,1,-0.239157,0.0182374,-0.18802,-1.17972,0.0885613,-0.129005,-0.0821841,0,-0.0821841,40000
6,1,-0.167533,0.0173726,-0.111021,-0.784989,0.0589288,-1.13575,-0.0821841,0,-0.0821841,40000
8,1,-0.0081734,0.0040403,-0.0794761,-0.791198,0.059395,0.837547,-0.0821841,0,-0.0821841,40000
7,1,-0.0863999,0.00829612,-0.0469917,-0.774131,0.0581137,-0.176658,-0.0821841,0,-0.0821841,40000
9,1,-0.00317013,-0.000353553,0.0227529,0,0,-1.05938,-0.0821841,0,-0.0821841,40000
10,1,-0.00397524,-0.00194166,0.0960034,0,0,-0.292828,-0.0821841,0,-0.0821841,40000
3,1,-0.462897,0.0330302,-0.328955,-1.60389,0.120403,-0.276132,-0.0821841,0,-0.0821841,41000
4,1,-0.344013,0.0271296,-0.244013,-1.15689,0.0868472,-1.08138,-0.0821841,0,-0.0821841,41000
5,1,-0.262752,0.0200086,-0.192561,-1.17972,0.0885613,-0.325205,-0.0821841,0,-0.0821841,41000
6,1,-0.183233,0.0185511,-0.135697,-0.784989,0.0589288,-1.33195,-0.0821841,0,-0.0821841,41000
8,1,-0.0239974,0.0052282,-0.0646867,-0.791198,0.059395,0.641347,-0.0821841,0,-0.0821841,41000
7,1,-0.101882,0.0094584,-0.0524863,-0.774131,0.0581137,-0.372858,-0.0821841,0,-0.0821841,41000
9,1,-0.00317013,-0.000353553,-0.000396273,0,0,-1.25558,-0.0821841,0,-0.0821841,41000
10,1,-0.00397524,-0.00194166,0.0881853,0,0,-0.489028,-0.0821841,0,-0.0821841,41000
3,1,-0.494975,0.0354383,-0.33644,-1.60389,0.120403,-0.472332,-0.0821841,0,-0.0821841,42000
4,1,-0.367151,0.0288665,-0.267602,-1.15689,0.0868472,-1.27758,-0.0821841,0,-0.0821841,42000
5,1,-0.286346,0.0217799,-0.201027,-1.17972,0.0885613,-0.521405,-0.0821841,0,-0.0821841,42000
6,1,-0.198933,0.0197297,-0.164298,-0.784989,0.0589288,-1.52815,-0.0821841,0,-0.0821841,42000
7,1,-0.117365,0.0106207,-0.061905,-0.774131,0.0581137,-0.569058,-0.0821841,0,-0.0821841,42000
8,1,-0.0398213,0.0064161,-0.0538212,-0.791198,0.059395,0.445147,-0.0821841,0,-0.0821841,42000
9,1,-0.00317013,-0.000353553,-0.0274694,0,0,-1.45178,-0.0821841,0,-0.0821841,42000
10,1,-0.00397524,-0.00194166,0.0764433,0,0,-0.685228,-0.0821841,0,-0.0821841,42000
4,1,-0.390289,0.0306035,-0.295115,-1.15689,0.0868472,-1.47378,-0.0821841,0,-0.0821841,43000
5,1,-0.309941,0.0235511,-0.213417,-1.17972,0.0885613,-0.717605,-0.0821841,0,-0.0821841,43000
6,1,-0.214633,0.0209083,-0.196822,-0.784989,0.0589288,-1.72435,-0.0821841,0,-0.0821841,43000
7,1,-0.132848,0.0117829,-0.0752477,-0.774131,0.0581137,-0.765258,-0.0821841,0,-0.0821841,43000
9,1,-0.00317013,-0.000353553,-0.0584666,0,0,-1.64798,-0.0821841,0,-0.0821841,43000
8,1,-0.0556453,0.007604,-0.0468798,-0.791198,0.059395,0.248947,-0.0821841,0,-0.0821841,43000
10,1,-0.00397524,-0.00194166,0.0607772,0,0,-0.881428,-0.0821841,0,-0.0821841,43000
4,1,-0.419677,0.0328097,-0.302862,-1.5124,0.113535,-0.342666,-0.0821841,0,-0.0821841,44000
5,1,-0.333535,0.0253223,-0.22973,-1.17972,0.0885613,-0.913805,-0.0821841,0,-0.0821841,44000
6,1,-0.236707,0.0225654,-0.20439,-1.2576,0.0944073,0.172097,-0.0821841,0,-0.0821841,44000
9,1,-0.00319378,-0.000351778,-0.0932222,-0.111327,0.00835727,-1.1746,14.327,0.222899,14.327,44000
7,1,-0.14833,0.0129452,-0.0925144,-0.774131,0.0581137,-0.961458,-0.0821841,0,-0.0821841,44000
8,1,-0.0714692,0.0087919,-0.0438624,-0.791198,0.059395,0.0527471,-0.0821841,0,-0.0821841,44000
10,1,-0.00397524,-0.00194166,0.0411871,0,0,-1.07763,-0.0821841,0,-0.0821841,44000
11,1,0.00159763,0.00145089,0.0730894,0,0,-0.0834831,-0.0821841,0,-0.0821841,44000
4,1,-0.449925,0.0350804,-0.311677,-1.5124,0.113535,-0.538866,-0.0821841,0,-0.0821841,45000
5,1,-0.35713,0.0270935,-0.249968,-1.17972,0.0885613,-1.11001,-0.0821841,0,-0.0821841,45000
